FOLDER,IN FILE,CHANNEL,OFFSET,DURATION,Fmin,Fmean,Fmax,DATE,TIME,HOUR,DATE-12,TIME-12,HOUR-12,TOP1MATCH*,TOP1DIST,TOP2MATCH,TOP2DIST,TOP3MATCH,TOP3DIST,VOCALIZATIONS,MANUAL ID
,S4A01593_20160506_225407.wav,0,3285.008,0.837,3094,3393,3656,5/6/2016,48:52.0,23,5/6/2016,48:52.0,11,non focal,0.543413,VIRA grunt,0.543413,SESP,0.543413,1,non focal
,S4A01593_20160506_225407.wav,0,3287.419,0.896,3000,3400,3656,5/6/2016,48:54.4,23,5/6/2016,48:54.4,11,non focal,0.571878,VIRA grunt,0.571878,VIRA call,0.571878,1,non focal
,S4A01593_20160506_225407.wav,0,1763.909,0.592,3188,3414,3656,5/6/2016,23:30.9,23,5/6/2016,23:30.9,11,non focal,0.578953,VIRA call,0.578953,VIRA grunt,0.578953,1,non focal
,S4A01593_20160506_225407.wav,0,1074.987,0.427,1125,1569,1969,5/6/2016,12:02.0,23,5/6/2016,12:02.0,11,non focal,0.640463,BLRA,0.640463,CLRA kek,0.640463,1,non focal
,S4A01593_20160506_225407.wav,1,1825.515,2.059,3094,3447,3750,5/6/2016,24:32.5,23,5/6/2016,24:32.5,11,non focal,0.644951,non focal,0.801775,VIRA grunt,0.801775,1,non focal
,S4A01593_20160506_225407.wav,0,1524.603,0.512,1219,3424,3750,5/6/2016,19:31.6,23,5/6/2016,19:31.6,11,non focal,0.666873,VIRA grunt,0.666873,VIRA call,0.666873,1,non focal
,S4A01593_20160506_225407.wav,1,30.683,0.565,1031,1364,1781,5/6/2016,54:37.7,22,5/6/2016,54:37.7,10,non focal,0.698051,LEBI,0.698051,BLRA,0.698051,1,non focal
,S4A01593_20160506_225407.wav,1,172.411,0.432,1125,1734,3844,5/6/2016,56:59.4,22,5/6/2016,56:59.4,10,non focal,0.762874,VIRA grunt,0.762874,LEBI,0.762874,1,non focal
,S4A01593_20160506_225407.wav,0,142.469,0.645,1219,1359,1688,5/6/2016,56:29.5,22,5/6/2016,56:29.5,10,non focal,0.803341,LEBI,0.803341,VIRA grunt,0.803341,1,non focal
,S4A01593_20160506_225407.wav,1,2016.843,0.501,1313,1587,1875,5/6/2016,27:43.8,23,5/6/2016,27:43.8,11,non focal,0.865227,BLRA,0.865227,CLRA kek,0.865227,1,non focal
,S4A01593_20160506_225407.wav,0,1660.853,0.117,1781,1969,2156,5/6/2016,21:47.9,23,5/6/2016,21:47.9,11,non focal,0.900311,BLRA,0.900311,focal mix,0.900311,1,non focal
,S4A01593_20160506_225407.wav,0,2806.315,0.213,1031,1609,3375,5/6/2016,40:53.3,23,5/6/2016,40:53.3,11,non focal,0.925434,LEBI,0.925434,focal mix,0.925434,1,non focal
,S4A01593_20160506_225407.wav,1,1942.699,0.416,3656,4328,8719,5/6/2016,26:29.7,23,5/6/2016,26:29.7,11,non focal,0.927393,BLRA,0.927393,SESP,1.020845,1,non focal
,S4A01593_20160506_225407.wav,1,155.147,0.347,1219,1643,3938,5/6/2016,56:42.2,22,5/6/2016,56:42.2,10,non focal,0.989845,BLRA,0.989845,non focal,1.04386,1,non focal
,S4A01593_20160506_225407.wav,0,817.211,1.275,1313,1628,2813,5/6/2016,07:44.2,23,5/6/2016,07:44.2,11,non focal,0.990079,VIRA call,0.990079,SORA,0.990079,1,VIRA call
,S4A01593_20160506_195404.wav,1,2157.195,0.213,3750,4153,4500,5/6/2016,30:01.2,20,5/6/2016,30:01.2,8,non focal,0.110013,SESP,0.110013,SORA,0.110013,1,non focal
,S4A01593_20160506_195404.wav,1,470.848,0.219,1688,4127,10031,5/6/2016,01:54.9,20,5/6/2016,01:54.9,8,non focal,0.14607,VIRA grunt,0.14607,BLRA,0.14607,1,non focal
,S4A01593_20160506_195404.wav,0,2465.829,0.699,3281,3691,4500,5/6/2016,35:09.8,20,5/6/2016,35:09.8,8,non focal,0.163256,focal mix,0.163256,CLRA grunt,0.163256,1,non focal
,S4A01593_20160506_195404.wav,1,476.459,0.219,1875,4041,10031,5/6/2016,02:00.5,20,5/6/2016,02:00.5,8,non focal,0.166942,BLRA,0.166942,VIRA grunt,0.166942,1,non focal
,S4A01593_20160506_195404.wav,1,2718.731,0.112,1406,1634,1875,5/6/2016,39:22.7,20,5/6/2016,39:22.7,8,non focal,0.169017,BLRA,0.169017,CLRA kek,0.169017,1,non focal
,S4A01593_20160506_195404.wav,0,2138.208,0.443,4406,4585,4781,5/6/2016,29:42.2,20,5/6/2016,29:42.2,8,non focal,0.169642,non focal,0.737924,SESP,0.737924,1,non focal
,S4A01593_20160506_195404.wav,0,2463.429,0.667,3281,3693,4594,5/6/2016,35:07.4,20,5/6/2016,35:07.4,8,non focal,0.178574,focal mix,0.178574,CLRA grunt,0.178574,1,non focal
,S4A01593_20160506_195404.wav,0,2471.397,0.976,3281,3690,4688,5/6/2016,35:15.4,20,5/6/2016,35:15.4,8,non focal,0.183789,focal mix,0.183789,CLRA grunt,0.183789,1,non focal
,S4A01593_20160506_195404.wav,0,1832.411,1.12,2344,2715,3188,5/6/2016,24:36.4,20,5/6/2016,24:36.4,8,non focal,0.18588,VIRA call,0.18588,CLRA kek,0.18588,1,non focal
,S4A01593_20160506_195404.wav,0,3297.611,2.373,1406,3988,4594,5/6/2016,49:01.6,20,5/6/2016,49:01.6,8,non focal,0.190713,non focal,0.781308,non focal,0.791263,1,non focal
,S4A01593_20160506_195404.wav,0,2943.749,1.024,3281,3670,4594,5/6/2016,43:07.8,20,5/6/2016,43:07.8,8,non focal,0.19199,non focal,1.167444,BLRA,1.167444,1,non focal
,S4A01593_20160506_195404.wav,0,3207.077,7.104,1125,4033,4594,5/6/2016,47:31.1,20,5/6/2016,47:31.1,8,non focal,0.19331,non focal,0.780158,non focal,0.848476,1,non focal
,S4A01593_20160506_195404.wav,0,2180.421,0.181,1313,2888,3375,5/6/2016,30:24.4,20,5/6/2016,30:24.4,8,non focal,0.195417,BLRA,0.195417,VIRA grunt,0.195417,1,non focal
,S4A01593_20160506_195404.wav,0,1650.56,0.16,2719,3066,3375,5/6/2016,21:34.6,20,5/6/2016,21:34.6,8,non focal,0.195626,BLRA,0.195626,SESP,0.195626,1,non focal
,S4A01593_20160506_195404.wav,0,1266.133,1.835,1500,2918,4594,5/6/2016,15:10.1,20,5/6/2016,15:10.1,8,non focal,0.196645,VIRA grunt,0.196645,focal mix,0.196645,1,non focal
